Nombre,NRC,Periodo
6069-2156-202542V4-52051,52051,202542V4
6069-2156-202542V4-52643,52643,202542V4
6069-2156V-202542V4-52171,52171,202542V4
5559-0110-202542V4-AP01,AP01,202542V4
5559-0110-202542V4-52641,52641,202542V4
6611-0038-202542V4-AP02,AP02,202542V4
6069-0174-202542V4-AP03,AP03,202542V4
6069-0154-202542V4-AP04,AP04,202542V4
6069-2060-202542V4-AP05,AP05,202542V4
6611-0070-202542V4-AP06,AP06,202542V4
3313-0067-202542V4-AP07,AP07,202542V4
3313-0068-202542V4-AP08,AP08,202542V4
6069-2153-202542V4-52473,52473,202542V4
6069-2153-202542V4-52499,52499,202542V4
3313-0068-202542V4-AP41,AP41,202542V4
3313-0067-202542V4-LC1,LC1,202542V4
3313-2040-202542V5-53413,53413,202542V5
6069-0087-202542V5-AP11,AP11,202542V5
5568-0086-202542V5-50008,50008,202542V5
6069-2153-202542V5-AP84,AP84,202542V5
6069-2154-202542V5-AP86,AP86,202542V5
6069-2154-202542V5-53298,53298,202542V5
6069-2008V-202542V5-53357,53357,202542V5
5568-0073-202542V5-AP88,AP88,202542V5
6069-2156V-202542V5-AP82,AP82,202542V5
5568-0074-202542V5-53436,53436,202542V5
6069-2157-202542V5-53438,53438,202542V5
6069-2153-202542V5-53358,53358,202542V5
6069-2003-202542V5-50001,50001,202542V5
6069-2002-202542V5-50005,50005,202542V5
6069-0141-202542V5-50009,50009,202542V5
6611-0039-202542V5-50037,50037,202542V5
3313-2006-202542V5-AP95,AP95,202542V5
6069-2008V-202542V5-50114,50114,202542V5
5568-0079-202542V5-50126,50126,202542V5
3313-0050-202542V5-50127,50127,202542V5
3313-0049-202542V5-50128,50128,202542V5
3313-0048-202542V5-50129,50129,202542V5
3313-0046-202542V5-50130,50130,202542V5
3313-0047-202542V5-50131,50131,202542V5
6069-2157-202542V5-52172,52172,202542V5
5568-0074-202542V5-52173,52173,202542V5
3313-0070-202542V5-52191,52191,202542V5
3313-2009-202542V5-AP16,AP16,202542V5
3313-2012-202542V5-AP17,AP17,202542V5
6069-0174-202542V5-AP24,AP24,202542V5
6069-2154-202542V5-AP25,AP25,202542V5
6069-2008V-202542V5-AP26,AP26,202542V5
6611-0073-202542V5-AP27,AP27,202542V5
6069-0154-202542V5-AP37,AP37,202542V5
6069-2156-202542V5-AP79,AP79,202542V5
5568-0074-202542V5-AP89,AP89,202542V5
6069-2159-202542V5-53247,53247,202542V5
6069-2157-202542V5-AP90,AP90,202542V5
6069-2158-202542V5-53251,53251,202542V5
6069-2153-202542V5-53252,53252,202542V5
6611-0041-202542V6-53450,53450,202542V6
6611-0041-202542V6-53451,53451,202542V6
6611-0041-202542V6-53452,53452,202542V6
6611-0041-202542V6-53453,53453,202542V6
6611-0041-202542V6-53454,53454,202542V6
6611-0041-202542V6-53455,53455,202542V6
6611-0041-202542V6-53456,53456,202542V6
6611-0041-202542V6-53457,53457,202542V6
6611-0041-202542V6-53458,53458,202542V6
6611-0041-202542V6-53459,53459,202542V6
6611-0041-202542V6-53460,53460,202542V6
6611-0041-202542V6-53461,53461,202542V6
6611-0041-202542V6-53462,53462,202542V6
6611-0041-202542V6-53463,53463,202542V6
6611-0041-202542V6-53464,53464,202542V6
6611-0041-202542V6-53465,53465,202542V6
6611-0041-202542V6-53466,53466,202542V6
6611-0041-202542V6-53467,53467,202542V6
6611-0041-202542V6-53468,53468,202542V6
6611-0041-202542V6-53469,53469,202542V6
6611-0041-202542V6-53470,53470,202542V6
6611-0041-202542V6-53471,53471,202542V6
6611-0041-202542V6-53472,53472,202542V6
6611-0041-202542V6-53473,53473,202542V6
6611-0041-202542V6-53474,53474,202542V6
6611-0041-202542V6-53476,53476,202542V6
6611-0041-202542V6-53477,53477,202542V6
6611-0041-202542V6-53478,53478,202542V6
6611-0041-202542V6-53479,53479,202542V6
3313-2010-202542V6-53372,53372,202542V6
3313-2010-202542V6-53373,53373,202542V6
3313-2010-202542V6-53375,53375,202542V6
3313-2010-202542V6-53376,53376,202542V6
3313-2010-202542V6-53385,53385,202542V6
3313-2010-202542V6-53387,53387,202542V6
3313-2010-202542V6-53388,53388,202542V6
3313-2010-202542V6-53389,53389,202542V6
3313-2010-202542V6-53390,53390,202542V6
3313-2014-202542V6-AC01,AC01,202542V6
3313-2014-202542V6-53395,53395,202542V6
3313-2014-202542V6-AC02,AC02,202542V6
3313-2014-202542V6-53398,53398,202542V6
3313-2014-202542V6-53399,53399,202542V6
3313-2014-202542V6-AC03,AC03,202542V6
3313-2014-202542V6-53402,53402,202542V6
3313-2014-202542V6-53403,53403,202542V6
3313-2014-202542V6-AC04,AC04,202542V6
3313-2014-202542V6-53406,53406,202542V6
3313-2014-202542V6-53407,53407,202542V6
3313-2014-202542V6-53408,53408,202542V6
3313-2014-202542V6-53409,53409,202542V6
3313-2040-202542V6-53802,53802,202542V6
6611-2020-202542V6-50010,50010,202542V6
6611-2020-202542V6-53643,53643,202542V6
8827-2030-202542V6-50011,50011,202542V6
8827-2030-202542V6-53644,53644,202542V6
3313-0067-202542V6-50068,50068,202542V6
3313-0070-202542V6-50069,50069,202542V6
6069-2003-202542V6-50116,50116,202542V6
6069-2002-202542V6-50117,50117,202542V6
3313-0051-202542V6-50132,50132,202542V6
3313-0051-202542V6-53854,53854,202542V6
3313-0049-202542V6-50134,50134,202542V6
3313-0048-202542V6-50135,50135,202542V6
3313-0046-202542V6-50136,50136,202542V6
3313-0047-202542V6-50137,50137,202542V6
3313-0068-202542V6-52221,52221,202542V6
6611-0035-202542V6-AC09,AC09,202542V6
6069-2157-202542V6-52836,52836,202542V6
6611-0036-202542V6-AP80,AP80,202542V6
6069-2160-202542V6-AP92,AP92,202542V6
6069-2157-202542V6-AC10,AC10,202542V6
6069-2154-202542V6-AP94,AP94,202542V6
6069-2158-202542V6-53254,53254,202542V6
6069-2153-202542V6-53545,53545,202542V6
6069-2154-202542V6-53577,53577,202542V6
6069-2154-202542V6-53578,53578,202542V6
6069-2154-202542V6-53579,53579,202542V6
6069-2154-202542V6-53580,53580,202542V6
6069-2153-202542V6-53581,53581,202542V6
5553-0019-202542V6-AC06,AC06,202542V6
3313-2007-202542V6-AC07,AC07,202542V6
3313-2013-202542V6-AP18,AP18,202542V6
3313-2011-202542V6-AP19,AP19,202542V6
5568-0074-202542V6-AP81,AP81,202542V6
6069-2154-202542V6-AP85,AP85,202542V6
6069-2060-202542V6-AP87,AP87,202542V6
6069-2160-202542V6-AP91,AP91,202542V6
6069-2157-202542V6-AP93,AP93,202542V6
6069-2156-202542V6-53676,53676,202542V6
